bugid ,TEST CASE ID ,FUNCTIONALITY ID,DEFECTSUUMERY,Defect Description,Reproduced Step,TEST DETA ,DEFECT TYPE,BUG_SEVIARITY,PRIORITY,OP_SY,ASSIGN_TO,BUG_STATUS,RESOIUTION,SHORT_DES,Tester Name,status  ,,,,
15,10,410,Check add to cart product in style,"When I add a product to the cart in the 'Style' category, it is correctly added with the selected size and style.but not show selected colour",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. check style 7.add to cart ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When  user add a product to the cart in the 'Style' category, it is correctly added with the selected size and style.but not show selected colour",geeta,open,,,,
16,11,411,Check style Pullover,"When I click on the 'Pullover' style, it shows not only images of pullovers but also multiple variations such as sweatshirts, hoodies, etc.",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. check style 7.check Pullover ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user  click on the 'Pullover' style, it shows not only images of pullovers but also multiple variations such as sweatshirts, hoodies, etc.",geeta,open,,,,
18,20,418,Check Colour sub option,"When I select a color in the sub-color options, and choose any particular color, the simillar image of the selected color does not appear in the catalog.""",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. click on color ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user select a color in the sub-color options, and choose any particular color, the simillar  image of the selected color does not appear in the catalog.""",geeta,open,,,,
19,22,419,Check Material Sub option cotton,"""When I choose 'cotton' in the material sub-option, it shows some products. But when I check the material details, it show only cotton. or not ""






",1.ENter link 2. Click in Whats new 3. check in women 4. Click on hoodies &sweet Shirt 5. CLick on Shopping option 6. click on Material,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user choose 'cotton' in the material sub-option, it shows some products. But when user  check the material details, it  not show only cotton. o """,geeta,open,,,,
20,3,503,Check Style Sub Option Insulted,"When I click to the ""Insulated"" style sub-option, it doesn't show display Insulated products; instead, it shows a variety, including Insulated jackets, hooded items, soft shells, full-zip products, and more.",1.Enter link 2. click on whats new 3.click on jacket 4. click on style 5.click on insullted ,_,Functionality,major,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user  click  to the ""Insulated"" style sub-option, it doesn't show  display Insulated products; instead, it shows a variety, including Insulated jackets, hooded items, soft shells, full-zip products, and more.",geeta,open,,,,
21,6,506,Check Style Sub Option Heavy Duty,When I click to the style under heavy duty it displays images not perfectly.,1.Enter link 2. click on whats new 3.click on jacket 4. click on style 5.click Heavy Duty,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,When I click  to the  style under heavy duty it displays images not perfectly.,geeta,open,,,,
22,8,508,Check Style Sub Option Hard Shell,"When I Click Style Sub Option Hard Shell it Display Show Me Muitipul Style LikeInsulated, Jacket, Heavy Duty, Hard Shell, Full Zip, Reversible etc",1.Enter link 2. click on whats new 3.click on jacket 4. click on style 5.clickhard shell,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user  Click  Style Sub Option Hard Shell it Display Show Me Muitipul Style LikeInsulated, Jacket, Heavy Duty, Hard Shell, Full Zip, Reversible etc",geeta,open,,,,
23,16,514,Check Style Product Review,"
""When I click on 'Product Review' and fill in the box with letters or numbers, it accepts and adds the review.""",1.Enter link 2. click on whats new 3.click on jacket 4. click on style 5.clickhard shell,_,_,critical,High,Windows,manisha12@gmail.com,ASSIGNED,---,"When user click on 'Product Review' and fill in the box with letters or numbers, it accepts and adds the review.""",geeta,open,,,,
24,4,703,check select price with colcor,when i check the select price and select any one color and i check the cart its display selected color or not,1. Enter link 2. click on whats new 3.click on jacket 4. click on price 5. click on color 5. add to cart,_,Functionality,minor,---,Windows,manisha12@gmail.com,ASSIGNED,---,when user  check the select price and  select any one color and i check the cart its  not display selected color,geeta,open,,,,
25,2,802,Check Select Color,"When I click color, the chosen shade is displayed on the product in real-time on the page.or not",1. Enter link 2. click on whats new 3.click on jacket 4. click on color,_,_,major,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user  click  color, the chosen shade its not  displayed on the product in real-time on the page.",geeta,open,,,,
26,4,802,check select colcor add to cart,when i check the select any one color and i check the cart its display selected color or not,1. Enter link 2. click on whats new 3.click on jacket 4. click on color 5. add to cart,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,when i check the select any one color and i check the cart its not  display selected color .,geeta,open,,,,
27,2,902,Check Material Sub option Cocona performance fabric,"When I choose Cocona performance fabric in the material sub-option, it shows some products. But when I check the material details, it doesn't show only Cocona performance fabric",1. Enter link 2. click on whats new 3.click on jacket 4. click on materal ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user choose Cocona performance fabric in the material sub-option, it shows some products. But when user  check the material details, it doesn't show only Cocona performance fabric",geeta,open,,,,
28,4,1003,Check ECO COLLECTION Option in selected color,when i check in Eco Collection selecte any color and add to cart yhis color its show on add to cart or not,1. Enter link 2. click on whats new 3.click on jacket 4. click on Eco Collection 5. click on color 6.click on Add to Cart,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,when user check in Eco Collection selecte any color and add to cart yhis color its not  show on add to cart,geeta,open,,,,
29,2,1201,Check Climate Sub Option All weather,"When I check the ""Climate"" sub-option and choose ""All Weather,"" it doesn't display only the products suitable for all weather conditions",1. Enter link 2. click on whats new 3.click on jacket 4. click on Eco Collection No,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When user check the ""Climate"" sub-option and choose ""All Weather,"" it doesn't display only the products suitable for all weather conditions",geeta,open,,,,
30,5,1204,Check Climate Sub Option Indoor,"
When I check the ""Climate"" sub-option and choose ""Indoor,"" it doesn't display only the indoor products",1. Enter link 2. click on whats new 3.click on jacket 4. click on Eco Collection No,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I check the ""Climate"" sub-option and choose ""Indoor,"" it doesn't display only the indoor products",geeta,open,,,,
31,6,1205,Check Climate Sub Option Mild,"When I check the ""Climate"" sub-option and choose "" Mild,"" it doesn't display only the Mild products",1. Enter link 2. click on whats new 3.click on jacket 4. click on Eco Collection No,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I check the ""Climate"" sub-option and choose "" Mild,"" it doesn't display only the Mild products",geeta,open,,,,
32,11,1210,Check Climate Sub Option Wintery,"
When I check the ""Climate"" sub-option and choose ""Wintery r,"" it doesn't display only the indoor products",1. Enter link 2. click on whats new 3.click on jacket 4. click on Eco Collection No,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I check the ""Climate"" sub-option and choose ""Wintery r,"" it doesn't display only the indoor products",geeta,open,,,,
33,8,1307,Check Color Sub Option,"When I select a color in the sub-color options, and choose any particular color, the simillar image of the selected color does not appear in the catalog.""",1. Enter link 2. click on whats new men 3.click on tees 4.click on color ,_,_,normal,Normal,Windows,manisha12@gmail.com,NEW,---,"When I select a color in the sub-color options, and choose any particular color, the simillar image of the selected color does not appear in the catalog.""",geeta,open,,,,
34,10,1309,Check Material SUb Option Cotton,"When I choose 'cotton' in the material sub-option, it shows some products. But when I check the material details, it doesn't show only cotton.""",1. Enter link 2. click on whats new men 3.click on tees 4.click on material,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I choose 'cotton' in the material sub-option, it shows some products. But when I check the material details, it doesn't show only cotton.""",geeta,open,,,,
35,5,1404,Check Style Sub Opttion Camisole,"When I click on ""Camisole"" it shows me a product, but upon checking the product style details, it indicates a mix style of Tank and Camisole.",1. Enter link 2. click on whats new men 3.click on Bra & tanks ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on ""Camisole"" it shows me a product, but upon checking the product style details, it indicates a mix style of Tank and Camisole.",geeta,open,,,,
36,9,1408,Check Slected Color Option,"When I select a color in the sub-color options, and choose any particular color, the simillar image of the selected color does not appear in the catalog.""",1. Enter link 2. click on whats new men 3.click on Bra & tanks 4. click on color ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I select a color in the sub-color options, and choose any particular color, the simillar  image of the selected color does not appear in the catalog.""",geeta,open,,,,
37,22,1421,Check Climate Sub Option,"When I select the ""Climate"" sub-option under a specific category, such as ""Indoor"" or ""Warm,"" it displays ""Indoor"" for both the ""Indoor"" and ""Warm"" product options, which is not accurate.",1. Enter link 2. click on whats new men 3.click on Bra & tanks 4. click on climate ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I select the ""Climate"" sub-option under a specific category, such as ""Indoor"" or ""Warm,"" it displays ""Indoor"" for both the ""Indoor"" and ""Warm"" product options, which is not accurate.",geeta,open,,,,
38,3,1502,Check Style in Capri Option,"
When I click on the ""Style"" option for Capri, it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on the ""Style"" option for Capri, it doesn't exclusively show Capri items; instead, it displays a mix of products.",geeta,open,,,,
39,4,1503,Check Style in Compression Option,"
When I click on the ""Style"" option for Compression it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on the ""Style"" option for Compression it doesn't exclusively show Capri items; instead, it displays a mix of products.",geeta,open,,,,
40,5,1504,Check Style in Leggings Option,"
When I click on the ""Style"" option for Leggings it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on the ""Style"" option for  Leggings  it doesn't exclusively show Capri items; instead, it displays a mix of products.",geeta,open,,,,
41,6,1505,Check Style in Parachute Option,"
When I click on the ""Style"" option for Parachute it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on the ""Style"" option for  Parachute   it doesn't exclusively show Capri items; instead, it displays a mix of products.",geeta,open,,,,
42,7,1506,Check Style in Sweatpants Option,"
When I click on the ""Style"" option for Sweatpants it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I click on the ""Style"" option for Track Pants it doesn't exclusively show Capri items; instead, it displays a mix of products.",geeta,open,,,,
43,8,1507,Check Style in Track Pants option,"
When I click on the ""Style"" option for Track Pants it doesn't exclusively show Capri items; instead, it displays a mix of products.",1. Enter link 2. click on whats new men 3.click on Pants 4. click on style,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I check the 'Style Sub Option' and select a specific style, upon checking the product information, the selected style is not displayed.""",geeta,open,,,,
44,8,1607,Check Colour sub option,"When I select a color in the sub-color options, and choose any particular color, the simillar image of the selected color does not appear in the catalog.""",1. Enter link 2. click on whats new men 3.click on shorts 4. click on color ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I select a color in the sub-color options, and choose any particular color, the simillar  image of the selected color does not appear in the catalog.""",geeta,open,,,,
45,6,1805,Check Jacket Option,"When I check the jacket option, it doesn't show only jackets; instead, it displays multiple styles",1. Enter link 2. click on women 3. click on jacket ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I check the jacket option, it doesn't show only jackets; instead, it displays multiple styles",geeta,open,,,,
46,4,1902,check watch categories option,when i click watch option its show selected option or not,1. Enter link 2. click on gear 3.click on watch ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,when i click watch option its  not show selected option,geeta,open,,,,
47,5,2004,Check share Sub Option,"When checking the sharing option and logging in with either Facebook or LinkedIn accounts, the email field accepts any valid input, allowing for flexibility in email address entry.",1. Enter link 2. Click on Share option 3. click on Email ,_,_,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When checking the sharing option and logging in with either Facebook or LinkedIn accounts, the email field accepts any valid input, allowing for flexibility in email address entry.",geeta,open,,,,
48,7,2006,Check SubScribe Mailing List form,"""When I fill up the Subscribe mailing form, I can enter any alphabet for the first name and last name, and it is accepted.",1. Enter link 2. ClickSubscribe mailing 3. click on Email ,_,Functionality,normal,Normal,Windows,manisha12@gmail.com,ASSIGNED,---,"When I fill up the Subscribe mailing form, I can enter any alphabet for the first name and last name, and it is accepted",geeta,open,,,,
,,,,,,,_,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Defect ID,testcase id,functionality id,Defect Summary,,,,Defect Description,Reproduced Step,testdata,Defect Types,Defect Severity,Defect Priority,expected result,,,attachment,status,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
